﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2VYMuwxLFNHw7t28BAYhm8","Ensemble","Irie Révoltés","Allez!","1","8","204893","spotify:user:1163504943","2015-08-23T16:34:19Z"
"spotify:track:01GkvW1ihzO1E3ciDlCiQy","Des fois","Irie Révoltés","Mouvement Mondial","1","10","280706","spotify:user:1163504943","2015-08-23T16:34:27Z"
"spotify:track:3xzt0d7Ol6XkCYwp8brab0","Zeit ist Geld","Irie Révoltés","Mouvement Mondial","1","13","232933","spotify:user:1163504943","2015-08-23T16:34:29Z"
"spotify:track:1R4Z72R8HtpBut9teH6BnI","Explosion","Irie Révoltés","Mouvement Mondial","1","2","229853","spotify:user:1163504943","2015-08-23T16:34:33Z"
"spotify:track:0Z4WFXtRdtHCdDYMImIktw","Papiers","Irie Révoltés","Voyage","1","1","274000","spotify:user:1163504943","2015-08-23T16:34:52Z"
"spotify:track:48BAXa4ymhEONCmRu0m7ps","Sky Is Falling","Anti-Flag","American Spring","1","4","254133","spotify:user:1163504943","2015-08-23T16:39:30Z"
"spotify:track:2sqo8QbwiQTIMwiLx1LySP","Brandenburg Gate","Anti-Flag, Tim Armstrong","American Spring","1","3","210306","spotify:user:1163504943","2015-08-23T16:39:42Z"
"spotify:track:7w9bgPAmPTtrkt2v16QWvQ","Lose Yourself - Soundtrack Version","Eminem","Curtain Call (Deluxe)","1","6","326466","spotify:user:1163504943","2015-08-23T18:18:54Z"
"spotify:track:6yr8GiTHWvFfi4o6Q5ebdT","'Till I Collapse","Eminem, Nate Dogg","The Eminem Show (Explicit Version)","1","18","297893","spotify:user:1163504943","2015-08-23T18:18:57Z"
"spotify:track:6UaRii9AH6Zss9xNMEQ2M9","Love The Way You Lie","Eminem, Rihanna","Recovery","1","15","263373","spotify:user:1163504943","2015-08-23T18:18:59Z"
"spotify:track:6sDQ4uiWw9OdVrCXFLSlZt","Rap God","Eminem","The Marshall Mathers LP2 (Deluxe)","1","9","363521","spotify:user:1163504943","2015-08-23T18:19:00Z"
"spotify:track:37pRjr7PhKVXGVRzzBudQu","Survival","Eminem","The Marshall Mathers LP2","1","5","272417","spotify:user:1163504943","2015-08-23T18:19:06Z"
"spotify:track:2vbWpgFRbqbVZFybdCgm6M","Berzerk","Eminem","The Marshall Mathers LP2","1","8","238746","spotify:user:1163504943","2015-08-23T18:19:08Z"
"spotify:track:5C82dqoMqAibC8UBAi9Arf","So Much Better","Eminem","The Marshall Mathers LP2 (Deluxe)","1","4","261386","spotify:user:1163504943","2015-08-23T18:19:44Z"
"spotify:track:6AnfqcIa7IyrCMtgh5P6Wc","Like Toy Soldiers","Eminem","Curtain Call (Deluxe)","1","10","295666","spotify:user:1163504943","2015-08-23T18:20:17Z"
"spotify:track:6v6WjsyLdY189IewecL2x7","Just Lose It","Eminem","Curtain Call (Deluxe)","1","15","248600","spotify:user:1163504943","2015-08-23T18:20:34Z"
"spotify:track:2ye824NM1m7Nc2UPXtwZjL","When I'm Gone","Eminem","Curtain Call (Deluxe)","1","16","281133","spotify:user:1163504943","2015-08-23T18:20:36Z"
"spotify:local:We+Are+Never+Ever+Getting+Back+Together+-+Taylor+Swift:We+Are+Never+Ever+Getting+Back+Together+-+Taylor+Swift:We+Are+Never+Ever+Getting+Back+Together+-+Taylor+Swift:193","We Are Never Ever Getting Back Together - Taylor Swift","We Are Never Ever Getting Back Together - Taylor Swift","We Are Never Ever Getting Back Together - Taylor Swift","0","0","193000","spotify:user:1163504943","2015-09-11T11:34:44Z"
